Census subdivision ID,Census subdivision name,Pop Total 2016,Aboriginal Identity,Pop Density Per Sq Km,Land Area Sq Km,Hshld Income Median,Employment Rate,Unemployment Rate,English,French,Non Official Languages,Pop Average Age Male,Pop Median Age Male,Pop Average Age Female,Pop Median Age Female,Semi Detached House,Single Detached House,Total Private Hslds Band Hsng,Feature Length M,Feature Area Sqm,Visible Minority Num Male,Visible Minority Num Female,Visible Minority Percent Male,Visible Minority Percent Female
5917054,Juan de Fuca (Part 1),4670,195,21,221,76288,57.4,5.5,4560,15,50,45,49,44,49,35,1715,0,369457.0368,1194124463,100,80,4.14,3.49
5917042,Metchosin,4708,135,66,71,87625,60.1,5.4,4430,20,35,46,50,47,52,65,1420,0,60679.7761,80315872.95,50,90,2.17,4.05
5917056,Juan de Fuca (Part 2),190,0,0,1268,61760,45.8,0,180,0,10,47,54,45,50,0,85,0,245757.5623,1577592684,0,10,0,16.67
5917809,Becher Bay 1,129,105,49,2,36224,45,18.2,125,0,0,36,35,34,32,0,35,15,11403.7257,2651562.553,0,0,0,0
5917052,Sooke,13001,865,229,56,71296,61.2,6.2,12620,85,160,40,42,42,44,375,3440,0,80435.1769,66565994.36,190,275,3.02,4.17
5917819,T'Sou-ke,225,160,301,0,41088,58.8,13,225,0,0,39,41,35,36,0,80,20,5867.8401,746653.1035,0,0,0,0
5917044,Langford,35342,2090,885,39,80331,68.5,5.3,33020,180,1160,37,37,39,39,740,5655,0,42684.4616,41656907.58,1695,1905,9.91,10.69
5917030,Oak Bay,18094,255,1717,10,93529,51.9,5.3,16695,80,675,48,52,50,54,105,4900,0,20125.0967,15056315.58,805,1060,9.92,11.32
5917041,Colwood,16859,840,954,17,85668,64.4,4.7,16135,125,325,40,40,41,42,740,3360,0,22508.8771,21217371.19,590,660,7.18,7.76
5917034,Victoria,85792,3780,4405,19,53126,63.6,6,75830,430,4420,43,41,45,44,1140,6545,0,21349.5884,21197281.29,5680,6685,14.71,15.54
5917040,Esquimalt,17655,1190,2494,7,60424,61.5,6.5,16125,325,585,41,41,44,45,690,1995,0,14882.3587,11017912.12,795,925,9.34,10.99
5917047,View Royal,10408,435,724,14,83994,64.1,3.8,9520,70,515,42,43,43,45,170,1655,0,29084.4445,16782226.39,655,775,13.79,15.03
5917021,Saanich,114148,3490,1099,103,77282,59,5.7,97675,390,10610,42,42,44,46,1185,22145,0,63911.2512,111528840.2,11750,12995,21.64,22.58
5917812,New Songhees 1A,1842,595,2594,0,48102,45.3,9.3,1785,5,40,43,47,49,54,5,340,10,5231.3784,710110.8248,45,35,5.29,3.54
5917049,Highlands,2225,50,58,38,103509,70.4,4.3,2175,5,30,42,45,42,45,5,790,0,32627.7888,41092657.22,55,20,4.87,1.83
5917015,Central Saanich,16814,660,406,41,86622,60.9,4.4,15800,25,380,45,49,47,51,175,3750,0,45676.9446,48150762.32,480,580,6.07,6.78
5917804,South Saanich 1,822,745,393,2,41600,50,17.6,805,0,15,31,27,31,29,25,135,25,6857.7553,2088722.908,0,0,0,0
5917803,East Saanich 2,1689,685,627,2,49195,37.6,11.3,1655,5,15,50,58,51,58,0,440,25,8789.7449,2698049.16,15,10,1.88,1.13
5919815,Malahat 11,143,135,58,2,53120,36.8,25,145,0,0,28,24,29,25,0,30,10,7702.8804,2452859.112,0,0,0,0
5917005,North Saanich,11249,190,301,37,103296,52.6,4.5,10865,25,230,50,56,50,56,90,3745,0,46563.0898,47385798.47,250,355,4.56,6.21
5917801,Cole Bay 3,332,330,117,2,36224,37.8,26.1,315,0,5,31,27,31,27,5,75,10,6985.9962,2818366.782,0,0,0,0
5917010,Sidney,11672,360,2290,5,63840,46.2,4.4,10915,35,305,52,57,56,61,465,1995,0,11480.435,7302125.499,305,390,6.05,6.4
5917802,Union Bay 4,94,90,324,0,32192,42.9,33.3,90,0,0,31,28,35,34,0,25,10,2658.0413,289452.2565,0,0,0,0
